x,y,time
678.552,333.564,844731616449
687.618,337.442,844731646593
699.85,341.471,844731676851
711.237,345.109,844731707188
731.122,352.428,844731737226
746.371,392.295,844731767300
798.425,722.108,844731827651
831.083,669.712,844731858163
845.133,630.021,844731888711
856.275,581.271,844731918809
882.636,526.816,844731949031
904.806,488.075,844731979304
916.872,464.753,844732009360
923.691,451.853,844732039522
925.914,444.945,844732069753
925.875,440.606,844732100089
927.249,438.23,844732130146
928.089,438.069,844732160308
929.179,437.339,844732190635
930.027,436.914,844732220682
930.71,436.331,844732250932
930.678,435.697,844732281094
930.128,435.435,844732311440
930.304,434.675,844732341496
930.698,434.262,844732371851
930.479,434.211,844732402082
930.055,434.079,844732432235
930.399,434.113,844732462485
930.737,434.011,844732492558
931.214,434.276,844732522877
929.71,434.407,844732552934
927.053,434.101,844732583086
923.406,433.867,844732613423
919.84,433.601,844732643498
916.891,433.41,844732673844
912.419,432.741,844732704190
857.499,431.837,844732734227
787.19,429.443,844732764380
731.751,427.497,844732794542
693.854,426.645,844732824792
669.696,427.186,844732854875
654.11,427.767,844732885010
645.203,429.642,844732915356
640.369,431.462,844732945702
639.197,431.65,844732975777
638.064,431.732,844733006036
638.498,432.211,844733036400
639.153,432.404,844733066437
639.618,432.444,844733096783
656.933,431.713,844733126840
719.086,431.423,844733157088
787.144,430.377,844733187338
842.594,429.77,844733217482
877.854,430.078,844733247732
900.264,432.349,844733277903
914.848,432.636,844733308152
917.176,434.858,844733338489
919.168,436.625,844733368641
920.229,437.208,844733398689
920.098,437.091,844733429035
920.445,437.014,844733459081
920.72,437.007,844733489427
921.12,437.041,844733519677
921.871,437.155,844733549830
922.271,437.446,844733579886
922.491,437.696,844733610214
922.827,438.263,844733640481
923.478,438.766,844733670616
924.365,438.829,844733700759
925.143,439.183,844733731009
925.467,439.177,844733761355
926.08,439.442,844733791410
926.908,439.673,844733821660
927.831,439.696,844733852006
929.031,439.932,844733882081
929.914,440.187,844733912427
930.35,440.263,844733942483
930.515,440.387,844733972636
930.621,440.147,844734002982
930.617,440.022,844734033038
930.404,439.825,844734063384
930.315,439.54,844734093633
930.312,439.365,844734123786
930.019,439.191,844734154036
929.605,438.929,844734184189
929.137,438.54,844734214341
928.687,437.991,844734244582
928.296,437.558,844734274937
928.038,436.891,844734304983
927.655,436.357,844734335330
927.459,435.926,844734365386
927.614,435.5,844734395732
927.192,434.848,844734425788
890.636,434.927,844734456115
819.1,432.936,844734486268
758.03,429.885,844734516352
716.691,426.103,844734546698
687.98,426.103,844734576755
670.144,424.923,844734607082
660.514,424.489,844734637235
655.327,424.564,844734667484
652.238,426.183,844734697541
